event_name,description,date_time,location,capacity,source_url,extracted_at,additional_info,contact_info,cost,registration_required,target_audience
10% POINT DAYS,,,"{""venue"": null, ""address"": null}",,https://www.conranshop.jp/,2025-09-24T12:33:35.789375,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
FALL FOR YOU,,,"{""venue"": null, ""address"": null}",,https://www.conranshop.jp/,2025-09-24T12:33:35.789375,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
BOBY WAGON OPTION CAMPAIGN,,,"{""venue"": null, ""address"": null}",,https://www.conranshop.jp/,2025-09-24T12:33:35.789375,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
CH24 CUSHION CAMPAIGN,,,"{""venue"": null, ""address"": null}",,https://www.conranshop.jp/,2025-09-24T12:33:35.789375,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
Gervasoni Four Seasons' Promotion,,,"{""venue"": null, ""address"": null}",,https://www.conranshop.jp/,2025-09-24T12:33:35.789375,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
Original Sofa Upgrade Campaign,期間中、対象のオリジナルソファをご購入いただくと、価格はそのままで、ワンランク上の張地が選択可能となるお得なキャンペーン,,"{""venue"": null, ""address"": null}",,https://www.conranshop.jp/,2025-09-24T12:33:35.789375,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
カール・ハンセン＆サン Modern Tradition Campaign,対象商品を2脚以上ご購入いただいくと、対象商品の合計額より15％OFFになるお得なキャンペーン,,"{""venue"": null, ""address"": null}",,https://www.conranshop.jp/,2025-09-24T12:33:35.789375,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": ""15%OFF""}",,[]
Grand Opening Offer,Subscribe and Save 15% on Your First Order,,,,https://store.united-arrows.co.jp/,2025-09-24T12:33:43.632948,Newsletter subscription required to receive discount,,"{""is_free"": false, ""amount"": ""15% off"", ""notes"": ""Discount on first order""}",True,"[""New Customers""]"
AUTUMN 2025 OFFICE STYLE Collection Launch,New seasonal collection featuring office wear styles,2025-07-15,,,https://store.united-arrows.co.jp/,2025-09-24T12:33:43.632948,,,,,"[""Men"", ""Women""]"
AZABUDAI HILLS MARKET Lab. WORKSHOP,,,"{""venue"": ""Azabudai Hills Market Lab"", ""address"": null}",,https://www.azabudai-hills.com/azabudaihillsmarket/index.html,2025-09-24T12:33:53.497424,,"{""phone"": ""03-5544-9636"", ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
FAMILY GREEN Atelier,,,"{""venue"": ""Azabudai Hills"", ""address"": null}",,https://www.azabudai-hills.com/azabudaihillsmarket/index.html,2025-09-24T12:33:53.497424,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,"[""家族""]"
GREEN THUMB Market,,2025-10-04,"{""venue"": ""Azabudai Hills"", ""address"": null}",,https://www.azabudai-hills.com/azabudaihillsmarket/index.html,2025-09-24T12:33:53.497424,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
MONT BLANC SELECTION,,2025-09-19,"{""venue"": ""Azabudai Hills"", ""address"": null}",,https://www.azabudai-hills.com/azabudaihillsmarket/index.html,2025-09-24T12:33:53.497424,,"{""phone"": null, ""email"": null}","{""is_free"": null, ""amount"": null, ""notes"": null}",,[]
